id,product_id,average_rating,total_reviews,rating1,rating2,rating3,rating4,rating5,updated_at
pra_052,prd_052,4.5,10,0,0,1,2,7,2026-05-15T00:00:00Z
pra_053,prd_053,4.5,10,0,0,1,2,7,2026-05-15T00:00:00Z
pra_054,prd_054,4.5,10,0,0,1,2,7,2026-05-15T00:00:00Z
pra_055,prd_055,4.5,10,0,0,1,2,7,2026-05-15T00:00:00Z
pra_056,prd_056,4.5,10,0,0,1,2,7,2026-05-15T00:00:00Z
pra_057,prd_057,4.5,10,0,0,1,2,7,2026-05-15T00:00:00Z
pra_058,prd_058,4.5,10,0,0,1,2,7,2026-05-15T00:00:00Z
pra_059,prd_059,4.5,10,0,0,1,2,7,2026-05-15T00:00:00Z
pra_060,prd_060,4.5,10,0,0,1,2,7,2026-05-15T00:00:00Z
pra_061,prd_061,4.5,10,0,0,1,2,7,2026-05-15T00:00:00Z
pra_062,prd_062,4.5,10,0,0,1,2,7,2026-05-15T00:00:00Z
pra_063,prd_063,4.5,10,0,0,1,2,7,2026-05-15T00:00:00Z
pra_064,prd_064,4.5,10,0,0,1,2,7,2026-05-15T00:00:00Z
pra_065,prd_065,4.5,10,0,0,1,2,7,2026-05-15T00:00:00Z
pra_066,prd_066,4.5,10,0,0,1,2,7,2026-05-15T00:00:00Z
pra_067,prd_067,4.5,10,0,0,1,2,7,2026-05-15T00:00:00Z
pra_068,prd_068,4.5,10,0,0,1,2,7,2026-05-15T00:00:00Z
pra_069,prd_069,4.5,10,0,0,1,2,7,2026-05-15T00:00:00Z
pra_070,prd_070,4.5,10,0,0,1,2,7,2026-05-15T00:00:00Z
pra_071,prd_071,4.5,10,0,0,1,2,7,2026-05-15T00:00:00Z
pra_072,prd_072,4.5,10,0,0,1,2,7,2026-05-15T00:00:00Z
pra_073,prd_073,4.5,10,0,0,1,2,7,2026-05-15T00:00:00Z
pra_074,prd_074,4.5,10,0,0,1,2,7,2026-05-15T00:00:00Z
pra_075,prd_075,4.5,10,0,0,1,2,7,2026-05-15T00:00:00Z
pra_076,prd_076,4.5,10,0,0,1,2,7,2026-05-15T00:00:00Z
pra_077,prd_077,4.5,10,0,0,1,2,7,2026-05-15T00:00:00Z
pra_078,prd_078,4.5,10,0,0,1,2,7,2026-05-15T00:00:00Z
pra_079,prd_079,4.5,10,0,0,1,2,7,2026-05-15T00:00:00Z
pra_080,prd_080,4.5,10,0,0,1,2,7,2026-05-15T00:00:00Z
pra_081,prd_081,4.5,10,0,0,1,2,7,2026-05-15T00:00:00Z
pra_082,prd_082,4.5,10,0,0,1,2,7,2026-05-15T00:00:00Z
pra_083,prd_083,4.5,10,0,0,1,2,7,2026-05-15T00:00:00Z
pra_084,prd_084,4.5,10,0,0,1,2,7,2026-05-15T00:00:00Z
pra_085,prd_085,4.5,10,0,0,1,2,7,2026-05-15T00:00:00Z
pra_086,prd_086,4.5,10,0,0,1,2,7,2026-05-15T00:00:00Z
pra_087,prd_087,4.5,10,0,0,1,2,7,2026-05-15T00:00:00Z
pra_088,prd_088,4.5,10,0,0,1,2,7,2026-05-15T00:00:00Z
pra_089,prd_089,4.5,10,0,0,1,2,7,2026-05-15T00:00:00Z
pra_090,prd_090,4.5,10,0,0,1,2,7,2026-05-15T00:00:00Z
pra_091,prd_091,4.5,10,0,0,1,2,7,2026-05-15T00:00:00Z
pra_092,prd_092,4.5,10,0,0,1,2,7,2026-05-15T00:00:00Z
pra_093,prd_093,4.5,10,0,0,1,2,7,2026-05-15T00:00:00Z
pra_094,prd_094,4.5,10,0,0,1,2,7,2026-05-15T00:00:00Z
pra_095,prd_095,4.5,10,0,0,1,2,7,2026-05-15T00:00:00Z
pra_096,prd_096,4.5,10,0,0,1,2,7,2026-05-15T00:00:00Z
pra_097,prd_097,4.5,10,0,0,1,2,7,2026-05-15T00:00:00Z
pra_098,prd_098,4.5,10,0,0,1,2,7,2026-05-15T00:00:00Z
pra_099,prd_099,4.5,10,0,0,1,2,7,2026-05-15T00:00:00Z
pra_100,prd_100,4.5,10,0,0,1,2,7,2026-05-15T00:00:00Z
