id,review_id,brand_id,user_id,content,created_at,updated_at
brr_079,rev_029,br_luna,usr_049,Thank you for your detailed review.,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
brr_080,rev_030,br_heritage,usr_050,Thank you for your detailed review.,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
brr_081,rev_031,br_nova,usr_051,Thank you for your detailed review.,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
brr_082,rev_032,br_verve,usr_052,Thank you for your detailed review.,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
brr_083,rev_033,br_mira,usr_053,Thank you for your detailed review.,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
brr_084,rev_034,br_rise,usr_054,Thank you for your detailed review.,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
brr_085,rev_035,br_luna,usr_055,Thank you for your detailed review.,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
brr_086,rev_036,br_heritage,usr_056,Thank you for your detailed review.,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
brr_087,rev_037,br_nova,usr_001,Thank you for your detailed review.,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
brr_088,rev_038,br_verve,usr_002,Thank you for your detailed review.,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
brr_089,rev_039,br_mira,usr_003,Thank you for your detailed review.,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
brr_090,rev_040,br_rise,usr_004,Thank you for your detailed review.,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
brr_091,rev_041,br_luna,usr_005,Thank you for your detailed review.,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
brr_092,rev_042,br_heritage,usr_006,Thank you for your detailed review.,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
brr_093,rev_043,br_nova,usr_007,Thank you for your detailed review.,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
brr_094,rev_044,br_verve,usr_008,Thank you for your detailed review.,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
brr_095,rev_045,br_mira,usr_009,Thank you for your detailed review.,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
brr_096,rev_046,br_rise,usr_010,Thank you for your detailed review.,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
brr_097,rev_047,br_luna,usr_011,Thank you for your detailed review.,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
brr_098,rev_048,br_heritage,usr_012,Thank you for your detailed review.,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
brr_099,rev_049,br_nova,usr_013,Thank you for your detailed review.,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
brr_100,rev_050,br_verve,usr_014,Thank you for your detailed review.,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
