id,user_id,product_id,event_type,search_query,top_category,sub_category,weight,metadata,created_at
ua_052,usr_002,prd_052,VIEW_PRODUCT,,cat_women,cat_women_1,1.0,{},2026-05-15T00:00:00Z
ua_053,usr_003,prd_053,VIEW_PRODUCT,,cat_women,cat_women_1,1.0,{},2026-05-15T00:00:00Z
ua_054,usr_004,prd_054,VIEW_PRODUCT,,cat_women,cat_women_1,1.0,{},2026-05-15T00:00:00Z
ua_055,usr_005,prd_055,VIEW_PRODUCT,,cat_women,cat_women_1,1.0,{},2026-05-15T00:00:00Z
ua_056,usr_006,prd_056,VIEW_PRODUCT,,cat_women,cat_women_1,1.0,{},2026-05-15T00:00:00Z
ua_057,usr_007,prd_057,VIEW_PRODUCT,,cat_women,cat_women_1,1.0,{},2026-05-15T00:00:00Z
ua_058,usr_008,prd_058,VIEW_PRODUCT,,cat_women,cat_women_1,1.0,{},2026-05-15T00:00:00Z
ua_059,usr_009,prd_059,VIEW_PRODUCT,,cat_women,cat_women_1,1.0,{},2026-05-15T00:00:00Z
ua_060,usr_010,prd_060,VIEW_PRODUCT,,cat_women,cat_women_1,1.0,{},2026-05-15T00:00:00Z
ua_061,usr_011,prd_061,VIEW_PRODUCT,,cat_women,cat_women_1,1.0,{},2026-05-15T00:00:00Z
ua_062,usr_012,prd_062,VIEW_PRODUCT,,cat_women,cat_women_1,1.0,{},2026-05-15T00:00:00Z
ua_063,usr_013,prd_063,VIEW_PRODUCT,,cat_women,cat_women_1,1.0,{},2026-05-15T00:00:00Z
ua_064,usr_014,prd_064,VIEW_PRODUCT,,cat_women,cat_women_1,1.0,{},2026-05-15T00:00:00Z
ua_065,usr_015,prd_065,VIEW_PRODUCT,,cat_women,cat_women_1,1.0,{},2026-05-15T00:00:00Z
ua_066,usr_016,prd_066,VIEW_PRODUCT,,cat_women,cat_women_1,1.0,{},2026-05-15T00:00:00Z
ua_067,usr_017,prd_067,VIEW_PRODUCT,,cat_women,cat_women_1,1.0,{},2026-05-15T00:00:00Z
ua_068,usr_018,prd_068,VIEW_PRODUCT,,cat_women,cat_women_1,1.0,{},2026-05-15T00:00:00Z
ua_069,usr_019,prd_069,VIEW_PRODUCT,,cat_women,cat_women_1,1.0,{},2026-05-15T00:00:00Z
ua_070,usr_020,prd_070,VIEW_PRODUCT,,cat_women,cat_women_1,1.0,{},2026-05-15T00:00:00Z
ua_071,usr_021,prd_071,VIEW_PRODUCT,,cat_women,cat_women_1,1.0,{},2026-05-15T00:00:00Z
ua_072,usr_022,prd_072,VIEW_PRODUCT,,cat_women,cat_women_1,1.0,{},2026-05-15T00:00:00Z
ua_073,usr_023,prd_073,VIEW_PRODUCT,,cat_women,cat_women_1,1.0,{},2026-05-15T00:00:00Z
ua_074,usr_024,prd_074,VIEW_PRODUCT,,cat_women,cat_women_1,1.0,{},2026-05-15T00:00:00Z
ua_075,usr_025,prd_075,VIEW_PRODUCT,,cat_women,cat_women_1,1.0,{},2026-05-15T00:00:00Z
ua_076,usr_026,prd_076,VIEW_PRODUCT,,cat_women,cat_women_1,1.0,{},2026-05-15T00:00:00Z
ua_077,usr_027,prd_077,VIEW_PRODUCT,,cat_women,cat_women_1,1.0,{},2026-05-15T00:00:00Z
ua_078,usr_028,prd_078,VIEW_PRODUCT,,cat_women,cat_women_1,1.0,{},2026-05-15T00:00:00Z
ua_079,usr_029,prd_079,VIEW_PRODUCT,,cat_women,cat_women_1,1.0,{},2026-05-15T00:00:00Z
ua_080,usr_030,prd_080,VIEW_PRODUCT,,cat_women,cat_women_1,1.0,{},2026-05-15T00:00:00Z
ua_081,usr_031,prd_081,VIEW_PRODUCT,,cat_women,cat_women_1,1.0,{},2026-05-15T00:00:00Z
ua_082,usr_032,prd_082,VIEW_PRODUCT,,cat_women,cat_women_1,1.0,{},2026-05-15T00:00:00Z
ua_083,usr_033,prd_083,VIEW_PRODUCT,,cat_women,cat_women_1,1.0,{},2026-05-15T00:00:00Z
ua_084,usr_034,prd_084,VIEW_PRODUCT,,cat_women,cat_women_1,1.0,{},2026-05-15T00:00:00Z
ua_085,usr_035,prd_085,VIEW_PRODUCT,,cat_women,cat_women_1,1.0,{},2026-05-15T00:00:00Z
ua_086,usr_036,prd_086,VIEW_PRODUCT,,cat_women,cat_women_1,1.0,{},2026-05-15T00:00:00Z
ua_087,usr_037,prd_087,VIEW_PRODUCT,,cat_women,cat_women_1,1.0,{},2026-05-15T00:00:00Z
ua_088,usr_038,prd_088,VIEW_PRODUCT,,cat_women,cat_women_1,1.0,{},2026-05-15T00:00:00Z
ua_089,usr_039,prd_089,VIEW_PRODUCT,,cat_women,cat_women_1,1.0,{},2026-05-15T00:00:00Z
ua_090,usr_040,prd_090,VIEW_PRODUCT,,cat_women,cat_women_1,1.0,{},2026-05-15T00:00:00Z
ua_091,usr_041,prd_091,VIEW_PRODUCT,,cat_women,cat_women_1,1.0,{},2026-05-15T00:00:00Z
ua_092,usr_042,prd_092,VIEW_PRODUCT,,cat_women,cat_women_1,1.0,{},2026-05-15T00:00:00Z
ua_093,usr_043,prd_093,VIEW_PRODUCT,,cat_women,cat_women_1,1.0,{},2026-05-15T00:00:00Z
ua_094,usr_044,prd_094,VIEW_PRODUCT,,cat_women,cat_women_1,1.0,{},2026-05-15T00:00:00Z
ua_095,usr_045,prd_095,VIEW_PRODUCT,,cat_women,cat_women_1,1.0,{},2026-05-15T00:00:00Z
ua_096,usr_046,prd_096,VIEW_PRODUCT,,cat_women,cat_women_1,1.0,{},2026-05-15T00:00:00Z
ua_097,usr_047,prd_097,VIEW_PRODUCT,,cat_women,cat_women_1,1.0,{},2026-05-15T00:00:00Z
ua_098,usr_048,prd_098,VIEW_PRODUCT,,cat_women,cat_women_1,1.0,{},2026-05-15T00:00:00Z
ua_099,usr_049,prd_099,VIEW_PRODUCT,,cat_women,cat_women_1,1.0,{},2026-05-15T00:00:00Z
ua_100,usr_050,prd_100,VIEW_PRODUCT,,cat_women,cat_women_1,1.0,{},2026-05-15T00:00:00Z
ua_101,usr_051,prd_001,VIEW_PRODUCT,,cat_women,cat_women_1,1.0,{},2026-05-15T00:00:00Z
ua_102,usr_052,prd_002,VIEW_PRODUCT,,cat_women,cat_women_1,1.0,{},2026-05-15T00:00:00Z
ua_103,usr_053,prd_003,VIEW_PRODUCT,,cat_women,cat_women_1,1.0,{},2026-05-15T00:00:00Z
ua_104,usr_054,prd_004,VIEW_PRODUCT,,cat_women,cat_women_1,1.0,{},2026-05-15T00:00:00Z
ua_105,usr_055,prd_005,VIEW_PRODUCT,,cat_women,cat_women_1,1.0,{},2026-05-15T00:00:00Z
ua_106,usr_056,prd_006,VIEW_PRODUCT,,cat_women,cat_women_1,1.0,{},2026-05-15T00:00:00Z
ua_107,usr_057,prd_007,VIEW_PRODUCT,,cat_women,cat_women_1,1.0,{},2026-05-15T00:00:00Z
ua_108,usr_058,prd_008,VIEW_PRODUCT,,cat_women,cat_women_1,1.0,{},2026-05-15T00:00:00Z
ua_109,usr_059,prd_009,VIEW_PRODUCT,,cat_women,cat_women_1,1.0,{},2026-05-15T00:00:00Z
ua_110,usr_060,prd_010,VIEW_PRODUCT,,cat_women,cat_women_1,1.0,{},2026-05-15T00:00:00Z
ua_111,usr_061,prd_011,VIEW_PRODUCT,,cat_women,cat_women_1,1.0,{},2026-05-15T00:00:00Z
ua_112,usr_062,prd_012,VIEW_PRODUCT,,cat_women,cat_women_1,1.0,{},2026-05-15T00:00:00Z
ua_113,usr_063,prd_013,VIEW_PRODUCT,,cat_women,cat_women_1,1.0,{},2026-05-15T00:00:00Z
ua_114,usr_064,prd_014,VIEW_PRODUCT,,cat_women,cat_women_1,1.0,{},2026-05-15T00:00:00Z
ua_115,usr_065,prd_015,VIEW_PRODUCT,,cat_women,cat_women_1,1.0,{},2026-05-15T00:00:00Z
ua_116,usr_066,prd_016,VIEW_PRODUCT,,cat_women,cat_women_1,1.0,{},2026-05-15T00:00:00Z
ua_117,usr_067,prd_017,VIEW_PRODUCT,,cat_women,cat_women_1,1.0,{},2026-05-15T00:00:00Z
ua_118,usr_068,prd_018,VIEW_PRODUCT,,cat_women,cat_women_1,1.0,{},2026-05-15T00:00:00Z
ua_119,usr_069,prd_019,VIEW_PRODUCT,,cat_women,cat_women_1,1.0,{},2026-05-15T00:00:00Z
ua_120,usr_070,prd_020,VIEW_PRODUCT,,cat_women,cat_women_1,1.0,{},2026-05-15T00:00:00Z
ua_121,usr_071,prd_021,VIEW_PRODUCT,,cat_women,cat_women_1,1.0,{},2026-05-15T00:00:00Z
ua_122,usr_072,prd_022,VIEW_PRODUCT,,cat_women,cat_women_1,1.0,{},2026-05-15T00:00:00Z
ua_123,usr_073,prd_023,VIEW_PRODUCT,,cat_women,cat_women_1,1.0,{},2026-05-15T00:00:00Z
ua_124,usr_074,prd_024,VIEW_PRODUCT,,cat_women,cat_women_1,1.0,{},2026-05-15T00:00:00Z
ua_125,usr_075,prd_025,VIEW_PRODUCT,,cat_women,cat_women_1,1.0,{},2026-05-15T00:00:00Z
ua_126,usr_076,prd_026,VIEW_PRODUCT,,cat_women,cat_women_1,1.0,{},2026-05-15T00:00:00Z
ua_127,usr_077,prd_027,VIEW_PRODUCT,,cat_women,cat_women_1,1.0,{},2026-05-15T00:00:00Z
ua_128,usr_078,prd_028,VIEW_PRODUCT,,cat_women,cat_women_1,1.0,{},2026-05-15T00:00:00Z
ua_129,usr_079,prd_029,VIEW_PRODUCT,,cat_women,cat_women_1,1.0,{},2026-05-15T00:00:00Z
ua_130,usr_080,prd_030,VIEW_PRODUCT,,cat_women,cat_women_1,1.0,{},2026-05-15T00:00:00Z
ua_131,usr_081,prd_031,VIEW_PRODUCT,,cat_women,cat_women_1,1.0,{},2026-05-15T00:00:00Z
ua_132,usr_082,prd_032,VIEW_PRODUCT,,cat_women,cat_women_1,1.0,{},2026-05-15T00:00:00Z
ua_133,usr_083,prd_033,VIEW_PRODUCT,,cat_women,cat_women_1,1.0,{},2026-05-15T00:00:00Z
ua_134,usr_084,prd_034,VIEW_PRODUCT,,cat_women,cat_women_1,1.0,{},2026-05-15T00:00:00Z
ua_135,usr_085,prd_035,VIEW_PRODUCT,,cat_women,cat_women_1,1.0,{},2026-05-15T00:00:00Z
ua_136,usr_086,prd_036,VIEW_PRODUCT,,cat_women,cat_women_1,1.0,{},2026-05-15T00:00:00Z
ua_137,usr_087,prd_037,VIEW_PRODUCT,,cat_women,cat_women_1,1.0,{},2026-05-15T00:00:00Z
ua_138,usr_088,prd_038,VIEW_PRODUCT,,cat_women,cat_women_1,1.0,{},2026-05-15T00:00:00Z
ua_139,usr_089,prd_039,VIEW_PRODUCT,,cat_women,cat_women_1,1.0,{},2026-05-15T00:00:00Z
ua_140,usr_090,prd_040,VIEW_PRODUCT,,cat_women,cat_women_1,1.0,{},2026-05-15T00:00:00Z
ua_141,usr_091,prd_041,VIEW_PRODUCT,,cat_women,cat_women_1,1.0,{},2026-05-15T00:00:00Z
ua_142,usr_092,prd_042,VIEW_PRODUCT,,cat_women,cat_women_1,1.0,{},2026-05-15T00:00:00Z
ua_143,usr_093,prd_043,VIEW_PRODUCT,,cat_women,cat_women_1,1.0,{},2026-05-15T00:00:00Z
ua_144,usr_094,prd_044,VIEW_PRODUCT,,cat_women,cat_women_1,1.0,{},2026-05-15T00:00:00Z
ua_145,usr_095,prd_045,VIEW_PRODUCT,,cat_women,cat_women_1,1.0,{},2026-05-15T00:00:00Z
ua_146,usr_096,prd_046,VIEW_PRODUCT,,cat_women,cat_women_1,1.0,{},2026-05-15T00:00:00Z
ua_147,usr_097,prd_047,VIEW_PRODUCT,,cat_women,cat_women_1,1.0,{},2026-05-15T00:00:00Z
ua_148,usr_098,prd_048,VIEW_PRODUCT,,cat_women,cat_women_1,1.0,{},2026-05-15T00:00:00Z
ua_149,usr_099,prd_049,VIEW_PRODUCT,,cat_women,cat_women_1,1.0,{},2026-05-15T00:00:00Z
ua_150,usr_100,prd_050,VIEW_PRODUCT,,cat_women,cat_women_1,1.0,{},2026-05-15T00:00:00Z
