id,name,slug,logo_url,description,verified,commission_rate,api_enabled,contact_email,whatsapp_number,created_at,updated_at
br_011,Brand 11 Atelier,brand-11-atelier,https://cdn.example.com/brands/br_011.png,Description for Brand 11 Atelier.,true,11.00,false,contact@brand11.test,+923000000011,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
br_012,Brand 12 Atelier,brand-12-atelier,https://cdn.example.com/brands/br_012.png,Description for Brand 12 Atelier.,true,12.00,false,contact@brand12.test,+923000000012,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
br_013,Brand 13 Atelier,brand-13-atelier,https://cdn.example.com/brands/br_013.png,Description for Brand 13 Atelier.,true,13.00,false,contact@brand13.test,+923000000013,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
br_014,Brand 14 Atelier,brand-14-atelier,https://cdn.example.com/brands/br_014.png,Description for Brand 14 Atelier.,true,14.00,false,contact@brand14.test,+923000000014,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
br_015,Brand 15 Atelier,brand-15-atelier,https://cdn.example.com/brands/br_015.png,Description for Brand 15 Atelier.,true,10.00,false,contact@brand15.test,+923000000015,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
br_016,Brand 16 Atelier,brand-16-atelier,https://cdn.example.com/brands/br_016.png,Description for Brand 16 Atelier.,true,11.00,false,contact@brand16.test,+923000000016,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
br_017,Brand 17 Atelier,brand-17-atelier,https://cdn.example.com/brands/br_017.png,Description for Brand 17 Atelier.,true,12.00,false,contact@brand17.test,+923000000017,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
br_018,Brand 18 Atelier,brand-18-atelier,https://cdn.example.com/brands/br_018.png,Description for Brand 18 Atelier.,true,13.00,false,contact@brand18.test,+923000000018,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
br_019,Brand 19 Atelier,brand-19-atelier,https://cdn.example.com/brands/br_019.png,Description for Brand 19 Atelier.,true,14.00,false,contact@brand19.test,+923000000019,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
br_020,Brand 20 Atelier,brand-20-atelier,https://cdn.example.com/brands/br_020.png,Description for Brand 20 Atelier.,true,10.00,false,contact@brand20.test,+923000000020,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
br_021,Brand 21 Atelier,brand-21-atelier,https://cdn.example.com/brands/br_021.png,Description for Brand 21 Atelier.,true,11.00,false,contact@brand21.test,+923000000021,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
br_022,Brand 22 Atelier,brand-22-atelier,https://cdn.example.com/brands/br_022.png,Description for Brand 22 Atelier.,true,12.00,false,contact@brand22.test,+923000000022,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
br_023,Brand 23 Atelier,brand-23-atelier,https://cdn.example.com/brands/br_023.png,Description for Brand 23 Atelier.,true,13.00,false,contact@brand23.test,+923000000023,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
br_024,Brand 24 Atelier,brand-24-atelier,https://cdn.example.com/brands/br_024.png,Description for Brand 24 Atelier.,true,14.00,false,contact@brand24.test,+923000000024,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
br_025,Brand 25 Atelier,brand-25-atelier,https://cdn.example.com/brands/br_025.png,Description for Brand 25 Atelier.,true,10.00,false,contact@brand25.test,+923000000025,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
br_026,Brand 26 Atelier,brand-26-atelier,https://cdn.example.com/brands/br_026.png,Description for Brand 26 Atelier.,true,11.00,false,contact@brand26.test,+923000000026,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
br_027,Brand 27 Atelier,brand-27-atelier,https://cdn.example.com/brands/br_027.png,Description for Brand 27 Atelier.,true,12.00,false,contact@brand27.test,+923000000027,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
br_028,Brand 28 Atelier,brand-28-atelier,https://cdn.example.com/brands/br_028.png,Description for Brand 28 Atelier.,true,13.00,false,contact@brand28.test,+923000000028,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
br_029,Brand 29 Atelier,brand-29-atelier,https://cdn.example.com/brands/br_029.png,Description for Brand 29 Atelier.,true,14.00,false,contact@brand29.test,+923000000029,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
br_030,Brand 30 Atelier,brand-30-atelier,https://cdn.example.com/brands/br_030.png,Description for Brand 30 Atelier.,true,10.00,false,contact@brand30.test,+923000000030,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
br_031,Brand 31 Atelier,brand-31-atelier,https://cdn.example.com/brands/br_031.png,Description for Brand 31 Atelier.,true,11.00,false,contact@brand31.test,+923000000031,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
br_032,Brand 32 Atelier,brand-32-atelier,https://cdn.example.com/brands/br_032.png,Description for Brand 32 Atelier.,true,12.00,false,contact@brand32.test,+923000000032,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
br_033,Brand 33 Atelier,brand-33-atelier,https://cdn.example.com/brands/br_033.png,Description for Brand 33 Atelier.,true,13.00,false,contact@brand33.test,+923000000033,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
br_034,Brand 34 Atelier,brand-34-atelier,https://cdn.example.com/brands/br_034.png,Description for Brand 34 Atelier.,true,14.00,false,contact@brand34.test,+923000000034,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
br_035,Brand 35 Atelier,brand-35-atelier,https://cdn.example.com/brands/br_035.png,Description for Brand 35 Atelier.,true,10.00,false,contact@brand35.test,+923000000035,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
br_036,Brand 36 Atelier,brand-36-atelier,https://cdn.example.com/brands/br_036.png,Description for Brand 36 Atelier.,true,11.00,false,contact@brand36.test,+923000000036,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
br_037,Brand 37 Atelier,brand-37-atelier,https://cdn.example.com/brands/br_037.png,Description for Brand 37 Atelier.,true,12.00,false,contact@brand37.test,+923000000037,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
br_038,Brand 38 Atelier,brand-38-atelier,https://cdn.example.com/brands/br_038.png,Description for Brand 38 Atelier.,true,13.00,false,contact@brand38.test,+923000000038,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
br_039,Brand 39 Atelier,brand-39-atelier,https://cdn.example.com/brands/br_039.png,Description for Brand 39 Atelier.,true,14.00,false,contact@brand39.test,+923000000039,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
br_040,Brand 40 Atelier,brand-40-atelier,https://cdn.example.com/brands/br_040.png,Description for Brand 40 Atelier.,true,10.00,false,contact@brand40.test,+923000000040,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
br_041,Brand 41 Atelier,brand-41-atelier,https://cdn.example.com/brands/br_041.png,Description for Brand 41 Atelier.,true,11.00,false,contact@brand41.test,+923000000041,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
br_042,Brand 42 Atelier,brand-42-atelier,https://cdn.example.com/brands/br_042.png,Description for Brand 42 Atelier.,true,12.00,false,contact@brand42.test,+923000000042,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
br_043,Brand 43 Atelier,brand-43-atelier,https://cdn.example.com/brands/br_043.png,Description for Brand 43 Atelier.,true,13.00,false,contact@brand43.test,+923000000043,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
br_044,Brand 44 Atelier,brand-44-atelier,https://cdn.example.com/brands/br_044.png,Description for Brand 44 Atelier.,true,14.00,false,contact@brand44.test,+923000000044,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
br_045,Brand 45 Atelier,brand-45-atelier,https://cdn.example.com/brands/br_045.png,Description for Brand 45 Atelier.,true,10.00,false,contact@brand45.test,+923000000045,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
br_046,Brand 46 Atelier,brand-46-atelier,https://cdn.example.com/brands/br_046.png,Description for Brand 46 Atelier.,true,11.00,false,contact@brand46.test,+923000000046,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
br_047,Brand 47 Atelier,brand-47-atelier,https://cdn.example.com/brands/br_047.png,Description for Brand 47 Atelier.,true,12.00,false,contact@brand47.test,+923000000047,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
br_048,Brand 48 Atelier,brand-48-atelier,https://cdn.example.com/brands/br_048.png,Description for Brand 48 Atelier.,true,13.00,false,contact@brand48.test,+923000000048,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
br_049,Brand 49 Atelier,brand-49-atelier,https://cdn.example.com/brands/br_049.png,Description for Brand 49 Atelier.,true,14.00,false,contact@brand49.test,+923000000049,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
br_050,Brand 50 Atelier,brand-50-atelier,https://cdn.example.com/brands/br_050.png,Description for Brand 50 Atelier.,true,10.00,false,contact@brand50.test,+923000000050,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
