id,product_id,user_id,brand_id,order_item_id,rating,title,content,status,is_verified_purchase,moderated_by_id,moderation_reason,moderated_at,created_at,updated_at
rev_042,prd_042,usr_047,br_heritage,oi_042_1_1,3,Review title 42,This is a sample review for product prd_042.,VISIBLE,true,usr_admin,,,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
rev_043,prd_043,usr_048,br_nova,oi_043_1_1,4,Review title 43,This is a sample review for product prd_043.,VISIBLE,true,usr_admin,,,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
rev_044,prd_044,usr_049,br_verve,oi_044_1_1,5,Review title 44,This is a sample review for product prd_044.,VISIBLE,true,usr_admin,,,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
rev_045,prd_045,usr_050,br_mira,oi_045_1_1,1,Review title 45,This is a sample review for product prd_045.,VISIBLE,true,usr_admin,,,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
rev_046,prd_046,usr_051,br_rise,oi_046_1_1,2,Review title 46,This is a sample review for product prd_046.,VISIBLE,true,usr_admin,,,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
rev_047,prd_047,usr_052,br_luna,oi_047_1_1,3,Review title 47,This is a sample review for product prd_047.,VISIBLE,true,usr_admin,,,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
rev_048,prd_048,usr_053,br_heritage,oi_048_1_1,4,Review title 48,This is a sample review for product prd_048.,VISIBLE,true,usr_admin,,,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
rev_049,prd_049,usr_054,br_nova,oi_049_1_1,5,Review title 49,This is a sample review for product prd_049.,VISIBLE,true,usr_admin,,,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
rev_050,prd_050,usr_055,br_verve,oi_050_1_1,1,Review title 50,This is a sample review for product prd_050.,VISIBLE,true,usr_admin,,,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
rev_051,prd_051,usr_056,br_mira,oi_001_1_1,2,Review title 51,This is a sample review for product prd_051.,VISIBLE,true,usr_admin,,,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
rev_052,prd_052,usr_001,br_rise,oi_002_1_1,3,Review title 52,This is a sample review for product prd_052.,VISIBLE,true,usr_admin,,,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
rev_053,prd_053,usr_002,br_luna,oi_003_1_1,4,Review title 53,This is a sample review for product prd_053.,VISIBLE,true,usr_admin,,,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
rev_054,prd_054,usr_003,br_heritage,oi_004_1_1,5,Review title 54,This is a sample review for product prd_054.,VISIBLE,true,usr_admin,,,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
rev_055,prd_055,usr_004,br_nova,oi_005_1_1,1,Review title 55,This is a sample review for product prd_055.,VISIBLE,true,usr_admin,,,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
rev_056,prd_056,usr_005,br_verve,oi_006_1_1,2,Review title 56,This is a sample review for product prd_056.,VISIBLE,true,usr_admin,,,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
rev_057,prd_057,usr_006,br_mira,oi_007_1_1,3,Review title 57,This is a sample review for product prd_057.,VISIBLE,true,usr_admin,,,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
rev_058,prd_058,usr_007,br_rise,oi_008_1_1,4,Review title 58,This is a sample review for product prd_058.,VISIBLE,true,usr_admin,,,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
rev_059,prd_059,usr_008,br_luna,oi_009_1_1,5,Review title 59,This is a sample review for product prd_059.,VISIBLE,true,usr_admin,,,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
rev_060,prd_060,usr_009,br_heritage,oi_010_1_1,1,Review title 60,This is a sample review for product prd_060.,VISIBLE,true,usr_admin,,,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
