id,brand_id,approval_status,name,slug,description,gender,color,type,actual_price,sale_price,discount_percentage,price_pkr,top_category,sub_category,sizes,tags,image_url,stock,is_active,created_at,updated_at
prd_016,br_mira,APPROVED,Product 16,product-16,Description for Product 16.,WOMEN,White,Loungewear,4360.0,3850.0,12.0,3770,cat_tops,cat_dresses,"[""M"", ""L""]","[""new"", ""season""]",https://cdn.example.com/products/prd_016.jpg,36,true,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
prd_017,br_rise,APPROVED,Product 17,product-17,Description for Product 17.,WOMEN,Red,Activewear,4370.0,3860.0,10.0,3775,cat_dresses,cat_knitwear,"[""M"", ""L""]","[""classic"", ""everyday""]",https://cdn.example.com/products/prd_017.jpg,37,true,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
prd_018,br_luna,APPROVED,Product 18,product-18,Description for Product 18.,WOMEN,Navy,Top,4380.0,3870.0,12.0,3780,cat_knitwear,cat_accessories,"[""S"", ""M"", ""L""]","[""new"", ""season""]",https://cdn.example.com/products/prd_018.jpg,38,true,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
prd_019,br_heritage,APPROVED,Product 19,product-19,Description for Product 19.,WOMEN,Rose,Dress,4390.0,3880.0,10.0,3785,cat_accessories,cat_loungewear,"[""M"", ""L""]","[""classic"", ""everyday""]",https://cdn.example.com/products/prd_019.jpg,39,true,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
prd_020,br_nova,APPROVED,Product 20,product-20,Description for Product 20.,WOMEN,Black,Knitwear,4400.0,3890.0,12.0,3790,cat_loungewear,cat_active,"[""M"", ""L""]","[""new"", ""season""]",https://cdn.example.com/products/prd_020.jpg,40,true,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
prd_021,br_verve,APPROVED,Product 21,product-21,Description for Product 21.,WOMEN,White,Accessory,4410.0,3900.0,10.0,3795,cat_active,cat_tops,"[""S"", ""M"", ""L""]","[""classic"", ""everyday""]",https://cdn.example.com/products/prd_021.jpg,41,true,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
prd_022,br_mira,APPROVED,Product 22,product-22,Description for Product 22.,WOMEN,Red,Loungewear,4420.0,3910.0,12.0,3800,cat_women,cat_tops,"[""M"", ""L""]","[""new"", ""season""]",https://cdn.example.com/products/prd_022.jpg,42,true,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
prd_023,br_rise,APPROVED,Product 23,product-23,Description for Product 23.,WOMEN,Navy,Activewear,4430.0,3920.0,10.0,3805,cat_tops,cat_dresses,"[""M"", ""L""]","[""classic"", ""everyday""]",https://cdn.example.com/products/prd_023.jpg,43,true,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
prd_024,br_luna,APPROVED,Product 24,product-24,Description for Product 24.,WOMEN,Rose,Top,4440.0,3930.0,12.0,3810,cat_dresses,cat_knitwear,"[""S"", ""M"", ""L""]","[""new"", ""season""]",https://cdn.example.com/products/prd_024.jpg,44,true,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
prd_025,br_heritage,APPROVED,Product 25,product-25,Description for Product 25.,WOMEN,Black,Dress,4450.0,3940.0,10.0,3815,cat_knitwear,cat_accessories,"[""M"", ""L""]","[""classic"", ""everyday""]",https://cdn.example.com/products/prd_025.jpg,45,true,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
prd_026,br_nova,APPROVED,Product 26,product-26,Description for Product 26.,WOMEN,White,Knitwear,4460.0,3950.0,12.0,3820,cat_accessories,cat_loungewear,"[""M"", ""L""]","[""new"", ""season""]",https://cdn.example.com/products/prd_026.jpg,46,true,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
prd_027,br_verve,APPROVED,Product 27,product-27,Description for Product 27.,WOMEN,Red,Accessory,4470.0,3960.0,10.0,3825,cat_loungewear,cat_active,"[""S"", ""M"", ""L""]","[""classic"", ""everyday""]",https://cdn.example.com/products/prd_027.jpg,47,true,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
prd_028,br_mira,APPROVED,Product 28,product-28,Description for Product 28.,WOMEN,Navy,Loungewear,4480.0,3970.0,12.0,3830,cat_active,cat_tops,"[""M"", ""L""]","[""new"", ""season""]",https://cdn.example.com/products/prd_028.jpg,48,true,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
prd_029,br_rise,APPROVED,Product 29,product-29,Description for Product 29.,WOMEN,Rose,Activewear,4490.0,3980.0,10.0,3835,cat_women,cat_tops,"[""M"", ""L""]","[""classic"", ""everyday""]",https://cdn.example.com/products/prd_029.jpg,49,true,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
prd_030,br_luna,APPROVED,Product 30,product-30,Description for Product 30.,WOMEN,Black,Top,4500.0,3990.0,12.0,3840,cat_tops,cat_dresses,"[""S"", ""M"", ""L""]","[""new"", ""season""]",https://cdn.example.com/products/prd_030.jpg,50,true,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
prd_031,br_heritage,APPROVED,Product 31,product-31,Description for Product 31.,WOMEN,White,Dress,4510.0,4000.0,10.0,3845,cat_dresses,cat_knitwear,"[""M"", ""L""]","[""classic"", ""everyday""]",https://cdn.example.com/products/prd_031.jpg,51,true,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
prd_032,br_nova,APPROVED,Product 32,product-32,Description for Product 32.,WOMEN,Red,Knitwear,4520.0,4010.0,12.0,3850,cat_knitwear,cat_accessories,"[""M"", ""L""]","[""new"", ""season""]",https://cdn.example.com/products/prd_032.jpg,52,true,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
prd_033,br_verve,APPROVED,Product 33,product-33,Description for Product 33.,WOMEN,Navy,Accessory,4530.0,4020.0,10.0,3855,cat_accessories,cat_loungewear,"[""S"", ""M"", ""L""]","[""classic"", ""everyday""]",https://cdn.example.com/products/prd_033.jpg,53,true,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
prd_034,br_mira,APPROVED,Product 34,product-34,Description for Product 34.,WOMEN,Rose,Loungewear,4540.0,4030.0,12.0,3860,cat_loungewear,cat_active,"[""M"", ""L""]","[""new"", ""season""]",https://cdn.example.com/products/prd_034.jpg,54,true,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
prd_035,br_rise,APPROVED,Product 35,product-35,Description for Product 35.,WOMEN,Black,Activewear,4550.0,4040.0,10.0,3865,cat_active,cat_tops,"[""M"", ""L""]","[""classic"", ""everyday""]",https://cdn.example.com/products/prd_035.jpg,55,true,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
prd_036,br_luna,APPROVED,Product 36,product-36,Description for Product 36.,WOMEN,White,Top,4560.0,4050.0,12.0,3870,cat_women,cat_tops,"[""S"", ""M"", ""L""]","[""new"", ""season""]",https://cdn.example.com/products/prd_036.jpg,56,true,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
prd_037,br_heritage,APPROVED,Product 37,product-37,Description for Product 37.,WOMEN,Red,Dress,4570.0,4060.0,10.0,3875,cat_tops,cat_dresses,"[""M"", ""L""]","[""classic"", ""everyday""]",https://cdn.example.com/products/prd_037.jpg,57,true,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
prd_038,br_nova,APPROVED,Product 38,product-38,Description for Product 38.,WOMEN,Navy,Knitwear,4580.0,4070.0,12.0,3880,cat_dresses,cat_knitwear,"[""M"", ""L""]","[""new"", ""season""]",https://cdn.example.com/products/prd_038.jpg,58,true,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
prd_039,br_verve,APPROVED,Product 39,product-39,Description for Product 39.,WOMEN,Rose,Accessory,4590.0,4080.0,10.0,3885,cat_knitwear,cat_accessories,"[""S"", ""M"", ""L""]","[""classic"", ""everyday""]",https://cdn.example.com/products/prd_039.jpg,59,true,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
prd_040,br_mira,APPROVED,Product 40,product-40,Description for Product 40.,WOMEN,Black,Loungewear,4600.0,4090.0,12.0,3890,cat_accessories,cat_loungewear,"[""M"", ""L""]","[""new"", ""season""]",https://cdn.example.com/products/prd_040.jpg,60,true,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
prd_041,br_rise,APPROVED,Product 41,product-41,Description for Product 41.,WOMEN,White,Activewear,4610.0,4100.0,10.0,3895,cat_loungewear,cat_active,"[""M"", ""L""]","[""classic"", ""everyday""]",https://cdn.example.com/products/prd_041.jpg,61,true,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
prd_042,br_luna,APPROVED,Product 42,product-42,Description for Product 42.,WOMEN,Red,Top,4620.0,4110.0,12.0,3900,cat_active,cat_tops,"[""S"", ""M"", ""L""]","[""new"", ""season""]",https://cdn.example.com/products/prd_042.jpg,62,true,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
prd_043,br_heritage,APPROVED,Product 43,product-43,Description for Product 43.,WOMEN,Navy,Dress,4630.0,4120.0,10.0,3905,cat_women,cat_tops,"[""M"", ""L""]","[""classic"", ""everyday""]",https://cdn.example.com/products/prd_043.jpg,63,true,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
prd_044,br_nova,APPROVED,Product 44,product-44,Description for Product 44.,WOMEN,Rose,Knitwear,4640.0,4130.0,12.0,3910,cat_tops,cat_dresses,"[""M"", ""L""]","[""new"", ""season""]",https://cdn.example.com/products/prd_044.jpg,64,true,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
prd_045,br_verve,APPROVED,Product 45,product-45,Description for Product 45.,WOMEN,Black,Accessory,4650.0,4140.0,10.0,3915,cat_dresses,cat_knitwear,"[""S"", ""M"", ""L""]","[""classic"", ""everyday""]",https://cdn.example.com/products/prd_045.jpg,65,true,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
prd_046,br_mira,APPROVED,Product 46,product-46,Description for Product 46.,WOMEN,White,Loungewear,4660.0,4150.0,12.0,3920,cat_knitwear,cat_accessories,"[""M"", ""L""]","[""new"", ""season""]",https://cdn.example.com/products/prd_046.jpg,66,true,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
prd_047,br_rise,APPROVED,Product 47,product-47,Description for Product 47.,WOMEN,Red,Activewear,4670.0,4160.0,10.0,3925,cat_accessories,cat_loungewear,"[""M"", ""L""]","[""classic"", ""everyday""]",https://cdn.example.com/products/prd_047.jpg,67,true,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
prd_048,br_luna,APPROVED,Product 48,product-48,Description for Product 48.,WOMEN,Navy,Top,4680.0,4170.0,12.0,3930,cat_loungewear,cat_active,"[""S"", ""M"", ""L""]","[""new"", ""season""]",https://cdn.example.com/products/prd_048.jpg,68,true,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
prd_049,br_heritage,APPROVED,Product 49,product-49,Description for Product 49.,WOMEN,Rose,Dress,4690.0,4180.0,10.0,3935,cat_active,cat_tops,"[""M"", ""L""]","[""classic"", ""everyday""]",https://cdn.example.com/products/prd_049.jpg,69,true,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
prd_050,br_nova,APPROVED,Product 50,product-50,Description for Product 50.,WOMEN,Black,Knitwear,4700.0,4190.0,12.0,3940,cat_women,cat_tops,"[""M"", ""L""]","[""new"", ""season""]",https://cdn.example.com/products/prd_050.jpg,70,true,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
prd_051,br_verve,APPROVED,Product 51,product-51,Description for Product 51.,WOMEN,White,Accessory,4710.0,4200.0,10.0,3945,cat_tops,cat_dresses,"[""S"", ""M"", ""L""]","[""classic"", ""everyday""]",https://cdn.example.com/products/prd_051.jpg,71,true,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
prd_052,br_mira,APPROVED,Product 52,product-52,Description for Product 52.,WOMEN,Red,Loungewear,4720.0,4210.0,12.0,3950,cat_dresses,cat_knitwear,"[""M"", ""L""]","[""new"", ""season""]",https://cdn.example.com/products/prd_052.jpg,72,true,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
prd_053,br_rise,APPROVED,Product 53,product-53,Description for Product 53.,WOMEN,Navy,Activewear,4730.0,4220.0,10.0,3955,cat_knitwear,cat_accessories,"[""M"", ""L""]","[""classic"", ""everyday""]",https://cdn.example.com/products/prd_053.jpg,73,true,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
prd_054,br_luna,APPROVED,Product 54,product-54,Description for Product 54.,WOMEN,Rose,Top,4740.0,4230.0,12.0,3960,cat_accessories,cat_loungewear,"[""S"", ""M"", ""L""]","[""new"", ""season""]",https://cdn.example.com/products/prd_054.jpg,74,true,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
prd_055,br_heritage,APPROVED,Product 55,product-55,Description for Product 55.,WOMEN,Black,Dress,4750.0,4240.0,10.0,3965,cat_loungewear,cat_active,"[""M"", ""L""]","[""classic"", ""everyday""]",https://cdn.example.com/products/prd_055.jpg,75,true,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
prd_056,br_nova,APPROVED,Product 56,product-56,Description for Product 56.,WOMEN,White,Knitwear,4760.0,4250.0,12.0,3970,cat_active,cat_tops,"[""M"", ""L""]","[""new"", ""season""]",https://cdn.example.com/products/prd_056.jpg,76,true,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
prd_057,br_verve,APPROVED,Product 57,product-57,Description for Product 57.,WOMEN,Red,Accessory,4770.0,4260.0,10.0,3975,cat_women,cat_tops,"[""S"", ""M"", ""L""]","[""classic"", ""everyday""]",https://cdn.example.com/products/prd_057.jpg,77,true,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
prd_058,br_mira,APPROVED,Product 58,product-58,Description for Product 58.,WOMEN,Navy,Loungewear,4780.0,4270.0,12.0,3980,cat_tops,cat_dresses,"[""M"", ""L""]","[""new"", ""season""]",https://cdn.example.com/products/prd_058.jpg,78,true,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
prd_059,br_rise,APPROVED,Product 59,product-59,Description for Product 59.,WOMEN,Rose,Activewear,4790.0,4280.0,10.0,3985,cat_dresses,cat_knitwear,"[""M"", ""L""]","[""classic"", ""everyday""]",https://cdn.example.com/products/prd_059.jpg,79,true,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
prd_060,br_luna,APPROVED,Product 60,product-60,Description for Product 60.,WOMEN,Black,Top,4800.0,4290.0,12.0,3990,cat_knitwear,cat_accessories,"[""S"", ""M"", ""L""]","[""new"", ""season""]",https://cdn.example.com/products/prd_060.jpg,80,true,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
