id,cart_id,product_id,quantity,selected_color,selected_size,created_at,updated_at
ci_010_1,cart_010,prd_010,1,Black,M,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ci_010_2,cart_010,prd_020,2,Black,M,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ci_011_1,cart_011,prd_011,1,Black,M,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ci_011_2,cart_011,prd_022,2,Black,M,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ci_012_1,cart_012,prd_012,1,Black,M,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ci_012_2,cart_012,prd_024,2,Black,M,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ci_013_1,cart_013,prd_013,1,Black,M,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ci_013_2,cart_013,prd_026,2,Black,M,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ci_014_1,cart_014,prd_014,1,Black,M,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ci_014_2,cart_014,prd_028,2,Black,M,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ci_015_1,cart_015,prd_015,1,Black,M,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ci_015_2,cart_015,prd_030,2,Black,M,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ci_016_1,cart_016,prd_016,1,Black,M,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ci_016_2,cart_016,prd_032,2,Black,M,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ci_017_1,cart_017,prd_017,1,Black,M,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ci_017_2,cart_017,prd_034,2,Black,M,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ci_018_1,cart_018,prd_018,1,Black,M,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ci_018_2,cart_018,prd_036,2,Black,M,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ci_019_1,cart_019,prd_019,1,Black,M,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ci_019_2,cart_019,prd_038,2,Black,M,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ci_020_1,cart_020,prd_020,1,Black,M,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ci_020_2,cart_020,prd_040,2,Black,M,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ci_021_1,cart_021,prd_021,1,Black,M,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ci_021_2,cart_021,prd_042,2,Black,M,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ci_022_1,cart_022,prd_022,1,Black,M,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ci_022_2,cart_022,prd_044,2,Black,M,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ci_023_1,cart_023,prd_023,1,Black,M,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ci_023_2,cart_023,prd_046,2,Black,M,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ci_024_1,cart_024,prd_024,1,Black,M,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ci_024_2,cart_024,prd_048,2,Black,M,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ci_025_1,cart_025,prd_025,1,Black,M,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ci_025_2,cart_025,prd_050,2,Black,M,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ci_026_1,cart_026,prd_026,1,Black,M,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ci_026_2,cart_026,prd_052,2,Black,M,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ci_027_1,cart_027,prd_027,1,Black,M,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ci_027_2,cart_027,prd_054,2,Black,M,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ci_028_1,cart_028,prd_028,1,Black,M,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ci_028_2,cart_028,prd_056,2,Black,M,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ci_029_1,cart_029,prd_029,1,Black,M,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ci_029_2,cart_029,prd_058,2,Black,M,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ci_030_1,cart_030,prd_030,1,Black,M,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ci_030_2,cart_030,prd_060,2,Black,M,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ci_031_1,cart_031,prd_031,1,Black,M,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ci_031_2,cart_031,prd_062,2,Black,M,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ci_032_1,cart_032,prd_032,1,Black,M,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ci_032_2,cart_032,prd_064,2,Black,M,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ci_033_1,cart_033,prd_033,1,Black,M,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ci_033_2,cart_033,prd_066,2,Black,M,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ci_034_1,cart_034,prd_034,1,Black,M,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ci_034_2,cart_034,prd_068,2,Black,M,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ci_035_1,cart_035,prd_035,1,Black,M,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ci_035_2,cart_035,prd_070,2,Black,M,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ci_036_1,cart_036,prd_036,1,Black,M,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ci_036_2,cart_036,prd_072,2,Black,M,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ci_037_1,cart_037,prd_037,1,Black,M,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ci_037_2,cart_037,prd_074,2,Black,M,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ci_038_1,cart_038,prd_038,1,Black,M,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ci_038_2,cart_038,prd_076,2,Black,M,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ci_039_1,cart_039,prd_039,1,Black,M,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ci_039_2,cart_039,prd_078,2,Black,M,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ci_040_1,cart_040,prd_040,1,Black,M,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ci_040_2,cart_040,prd_080,2,Black,M,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ci_041_1,cart_041,prd_041,1,Black,M,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ci_041_2,cart_041,prd_082,2,Black,M,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ci_042_1,cart_042,prd_042,1,Black,M,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ci_042_2,cart_042,prd_084,2,Black,M,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ci_043_1,cart_043,prd_043,1,Black,M,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ci_043_2,cart_043,prd_086,2,Black,M,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ci_044_1,cart_044,prd_044,1,Black,M,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ci_044_2,cart_044,prd_088,2,Black,M,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ci_045_1,cart_045,prd_045,1,Black,M,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ci_045_2,cart_045,prd_090,2,Black,M,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ci_046_1,cart_046,prd_046,1,Black,M,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ci_046_2,cart_046,prd_092,2,Black,M,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ci_047_1,cart_047,prd_047,1,Black,M,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ci_047_2,cart_047,prd_094,2,Black,M,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ci_048_1,cart_048,prd_048,1,Black,M,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ci_048_2,cart_048,prd_096,2,Black,M,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ci_049_1,cart_049,prd_049,1,Black,M,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ci_049_2,cart_049,prd_098,2,Black,M,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ci_050_1,cart_050,prd_050,1,Black,M,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ci_050_2,cart_050,prd_100,2,Black,M,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ci_051_1,cart_051,prd_051,1,Black,M,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ci_051_2,cart_051,prd_002,2,Black,M,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ci_052_1,cart_052,prd_052,1,Black,M,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ci_052_2,cart_052,prd_004,2,Black,M,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ci_053_1,cart_053,prd_053,1,Black,M,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ci_053_2,cart_053,prd_006,2,Black,M,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ci_054_1,cart_054,prd_054,1,Black,M,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ci_054_2,cart_054,prd_008,2,Black,M,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ci_055_1,cart_055,prd_055,1,Black,M,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ci_055_2,cart_055,prd_010,2,Black,M,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ci_056_1,cart_056,prd_056,1,Black,M,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ci_056_2,cart_056,prd_012,2,Black,M,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ci_057_1,cart_057,prd_057,1,Black,M,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ci_057_2,cart_057,prd_014,2,Black,M,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ci_058_1,cart_058,prd_058,1,Black,M,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ci_058_2,cart_058,prd_016,2,Black,M,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ci_059_1,cart_059,prd_059,1,Black,M,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ci_059_2,cart_059,prd_018,2,Black,M,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ci_060_1,cart_060,prd_060,1,Black,M,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ci_060_2,cart_060,prd_020,2,Black,M,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ci_061_1,cart_061,prd_061,1,Black,M,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ci_061_2,cart_061,prd_022,2,Black,M,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ci_062_1,cart_062,prd_062,1,Black,M,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ci_062_2,cart_062,prd_024,2,Black,M,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ci_063_1,cart_063,prd_063,1,Black,M,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ci_063_2,cart_063,prd_026,2,Black,M,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ci_064_1,cart_064,prd_064,1,Black,M,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ci_064_2,cart_064,prd_028,2,Black,M,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ci_065_1,cart_065,prd_065,1,Black,M,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ci_065_2,cart_065,prd_030,2,Black,M,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ci_066_1,cart_066,prd_066,1,Black,M,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ci_066_2,cart_066,prd_032,2,Black,M,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ci_067_1,cart_067,prd_067,1,Black,M,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ci_067_2,cart_067,prd_034,2,Black,M,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ci_068_1,cart_068,prd_068,1,Black,M,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ci_068_2,cart_068,prd_036,2,Black,M,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ci_069_1,cart_069,prd_069,1,Black,M,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ci_069_2,cart_069,prd_038,2,Black,M,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ci_070_1,cart_070,prd_070,1,Black,M,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ci_070_2,cart_070,prd_040,2,Black,M,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ci_071_1,cart_071,prd_071,1,Black,M,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ci_071_2,cart_071,prd_042,2,Black,M,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ci_072_1,cart_072,prd_072,1,Black,M,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ci_072_2,cart_072,prd_044,2,Black,M,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ci_073_1,cart_073,prd_073,1,Black,M,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ci_073_2,cart_073,prd_046,2,Black,M,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ci_074_1,cart_074,prd_074,1,Black,M,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ci_074_2,cart_074,prd_048,2,Black,M,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ci_075_1,cart_075,prd_075,1,Black,M,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ci_075_2,cart_075,prd_050,2,Black,M,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ci_076_1,cart_076,prd_076,1,Black,M,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ci_076_2,cart_076,prd_052,2,Black,M,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ci_077_1,cart_077,prd_077,1,Black,M,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ci_077_2,cart_077,prd_054,2,Black,M,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ci_078_1,cart_078,prd_078,1,Black,M,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ci_078_2,cart_078,prd_056,2,Black,M,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ci_079_1,cart_079,prd_079,1,Black,M,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ci_079_2,cart_079,prd_058,2,Black,M,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ci_080_1,cart_080,prd_080,1,Black,M,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ci_080_2,cart_080,prd_060,2,Black,M,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ci_081_1,cart_081,prd_081,1,Black,M,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ci_081_2,cart_081,prd_062,2,Black,M,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ci_082_1,cart_082,prd_082,1,Black,M,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ci_082_2,cart_082,prd_064,2,Black,M,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ci_083_1,cart_083,prd_083,1,Black,M,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ci_083_2,cart_083,prd_066,2,Black,M,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ci_084_1,cart_084,prd_084,1,Black,M,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ci_084_2,cart_084,prd_068,2,Black,M,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ci_085_1,cart_085,prd_085,1,Black,M,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ci_085_2,cart_085,prd_070,2,Black,M,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ci_086_1,cart_086,prd_086,1,Black,M,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ci_086_2,cart_086,prd_072,2,Black,M,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ci_087_1,cart_087,prd_087,1,Black,M,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ci_087_2,cart_087,prd_074,2,Black,M,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ci_088_1,cart_088,prd_088,1,Black,M,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ci_088_2,cart_088,prd_076,2,Black,M,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ci_089_1,cart_089,prd_089,1,Black,M,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ci_089_2,cart_089,prd_078,2,Black,M,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ci_090_1,cart_090,prd_090,1,Black,M,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ci_090_2,cart_090,prd_080,2,Black,M,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ci_091_1,cart_091,prd_091,1,Black,M,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ci_091_2,cart_091,prd_082,2,Black,M,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ci_092_1,cart_092,prd_092,1,Black,M,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ci_092_2,cart_092,prd_084,2,Black,M,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ci_093_1,cart_093,prd_093,1,Black,M,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ci_093_2,cart_093,prd_086,2,Black,M,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ci_094_1,cart_094,prd_094,1,Black,M,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ci_094_2,cart_094,prd_088,2,Black,M,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ci_095_1,cart_095,prd_095,1,Black,M,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ci_095_2,cart_095,prd_090,2,Black,M,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ci_096_1,cart_096,prd_096,1,Black,M,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ci_096_2,cart_096,prd_092,2,Black,M,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ci_097_1,cart_097,prd_097,1,Black,M,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ci_097_2,cart_097,prd_094,2,Black,M,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ci_098_1,cart_098,prd_098,1,Black,M,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ci_098_2,cart_098,prd_096,2,Black,M,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ci_099_1,cart_099,prd_099,1,Black,M,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ci_099_2,cart_099,prd_098,2,Black,M,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ci_100_1,cart_100,prd_100,1,Black,M,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
ci_100_2,cart_100,prd_100,2,Black,M,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
