id,user_id,type,label,last4,expires_month,expires_year,is_default,created_at,updated_at
upm_044,usr_044,CARD,Primary Card,4242,12,2028,true,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
upm_045,usr_045,CARD,Primary Card,4242,12,2028,true,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
upm_046,usr_046,CARD,Primary Card,4242,12,2028,true,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
upm_047,usr_047,CARD,Primary Card,4242,12,2028,true,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
upm_048,usr_048,CARD,Primary Card,4242,12,2028,true,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
upm_049,usr_049,CARD,Primary Card,4242,12,2028,true,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
upm_050,usr_050,CARD,Primary Card,4242,12,2028,true,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
upm_051,usr_051,CARD,Primary Card,4242,12,2028,true,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
upm_052,usr_052,CARD,Primary Card,4242,12,2028,true,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
upm_053,usr_053,CARD,Primary Card,4242,12,2028,true,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
upm_054,usr_054,CARD,Primary Card,4242,12,2028,true,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
upm_055,usr_055,CARD,Primary Card,4242,12,2028,true,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
upm_056,usr_056,CARD,Primary Card,4242,12,2028,true,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
upm_057,usr_057,CARD,Primary Card,4242,12,2028,true,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
upm_058,usr_058,CARD,Primary Card,4242,12,2028,true,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
upm_059,usr_059,CARD,Primary Card,4242,12,2028,true,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
upm_060,usr_060,CARD,Primary Card,4242,12,2028,true,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
upm_061,usr_061,CARD,Primary Card,4242,12,2028,true,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
upm_062,usr_062,CARD,Primary Card,4242,12,2028,true,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
upm_063,usr_063,CARD,Primary Card,4242,12,2028,true,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
upm_064,usr_064,CARD,Primary Card,4242,12,2028,true,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
upm_065,usr_065,CARD,Primary Card,4242,12,2028,true,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
upm_066,usr_066,CARD,Primary Card,4242,12,2028,true,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
upm_067,usr_067,CARD,Primary Card,4242,12,2028,true,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
upm_068,usr_068,CARD,Primary Card,4242,12,2028,true,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
upm_069,usr_069,CARD,Primary Card,4242,12,2028,true,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
upm_070,usr_070,CARD,Primary Card,4242,12,2028,true,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
upm_071,usr_071,CARD,Primary Card,4242,12,2028,true,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
upm_072,usr_072,CARD,Primary Card,4242,12,2028,true,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
upm_073,usr_073,CARD,Primary Card,4242,12,2028,true,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
upm_074,usr_074,CARD,Primary Card,4242,12,2028,true,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
upm_075,usr_075,CARD,Primary Card,4242,12,2028,true,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
upm_076,usr_076,CARD,Primary Card,4242,12,2028,true,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
upm_077,usr_077,CARD,Primary Card,4242,12,2028,true,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
upm_078,usr_078,CARD,Primary Card,4242,12,2028,true,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
upm_079,usr_079,CARD,Primary Card,4242,12,2028,true,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
upm_080,usr_080,CARD,Primary Card,4242,12,2028,true,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
upm_081,usr_081,CARD,Primary Card,4242,12,2028,true,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
upm_082,usr_082,CARD,Primary Card,4242,12,2028,true,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
upm_083,usr_083,CARD,Primary Card,4242,12,2028,true,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
upm_084,usr_084,CARD,Primary Card,4242,12,2028,true,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
upm_085,usr_085,CARD,Primary Card,4242,12,2028,true,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
upm_086,usr_086,CARD,Primary Card,4242,12,2028,true,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
upm_087,usr_087,CARD,Primary Card,4242,12,2028,true,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
upm_088,usr_088,CARD,Primary Card,4242,12,2028,true,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
upm_089,usr_089,CARD,Primary Card,4242,12,2028,true,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
upm_090,usr_090,CARD,Primary Card,4242,12,2028,true,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
upm_091,usr_091,CARD,Primary Card,4242,12,2028,true,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
upm_092,usr_092,CARD,Primary Card,4242,12,2028,true,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
upm_093,usr_093,CARD,Primary Card,4242,12,2028,true,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
upm_094,usr_094,CARD,Primary Card,4242,12,2028,true,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
upm_095,usr_095,CARD,Primary Card,4242,12,2028,true,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
upm_096,usr_096,CARD,Primary Card,4242,12,2028,true,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
upm_097,usr_097,CARD,Primary Card,4242,12,2028,true,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
upm_098,usr_098,CARD,Primary Card,4242,12,2028,true,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
upm_099,usr_099,CARD,Primary Card,4242,12,2028,true,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
upm_100,usr_100,CARD,Primary Card,4242,12,2028,true,2026-05-15T00:00:00Z,2026-05-15T00:00:00Z
